ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
193,19640408,160109,20223006,-16.27,-73.4,100,4.5,PERU,AREQUIPA
194,19640409,215441,20223006,-18.38,-71.08,21,5.4,OCEANO,MAR
195,19640410,060911,20223006,-14.37,-75.7,68,4.6,PERU,ICA
196,19640419,194132,20223006,-13.787,-75.138,86,4.9,PERU,HUANCAVELICA
197,19640425,114615,20223006,-15.69,-70.46,219,4.5,PERU,PUNO
198,19640425,133607,20223006,-15.59,-69.5,268,4.5,BOLIVIA,BOLIVIA
199,19640428,193331,20223006,-17.3,-70.1,127,4.7,PERU,TACNA
200,19640429,040801,20223006,-3.408,-78.089,26,4.9,PERU,AMAZONAS
201,19640429,175948,20223006,-16.52,-72.2,88,4.9,PERU,AREQUIPA
202,19640504,192541,20223006,-14.3,-75.8,14,4.9,PERU,ICA
203,19640505,032655,20223006,-18.66,-72.76,28,5.2,OCEANO,MAR
204,19640509,200635,20223006,-5.79,-82.55,19,4.9,OCEANO,MAR
205,19640514,113016,20223006,-15.56,-70.86,185,4.5,PERU,PUNO
206,19640518,041505,20223006,-12.15,-73.53,81,4.8,PERU,JUNIN
207,19640523,164207,20223006,-16.3,-69.2,235,4.6,PERU,PUNO
208,19640528,124959,20223006,-13.404,-74.848,103,5.4,PERU,AYACUCHO
209,19640531,195809,20223006,-9.466,-79.739,40,4.8,OCEANO,MAR
210,19640603,074931,20223006,-5.19,-78.6,33,4.7,PERU,AMAZONAS
211,19640604,114603,20223006,-9.758,-76.306,121,5.7,PERU,HUANUCO
212,19640606,003252,20223006,-14.93,-72.1,108,4.6,PERU,AREQUIPA
213,19640606,034427,20223006,-8.51,-79.305,49,4.8,OCEANO,MAR
214,19640609,153130,20223006,-4.77,-77.9,40,4.9,PERU,AMAZONAS
215,19640616,111525,20223006,-18,-71.7,80,4.6,OCEANO,MAR
216,19640621,065448,20223006,-15.29,-73.413,95,5.3,PERU,AYACUCHO
217,19640623,003012,20223006,-3.73,-78.1,53,5,PERU,AMAZONAS
218,19640701,224920,20223006,-14.31,-73.256,84,5.6,PERU,APURIMAC
219,19640702,090937,20223006,-11.5,-74.36,7,5,PERU,JUNIN
220,19640704,121346,20223006,-16.45,-72.53,81,5.7,PERU,AREQUIPA
221,19640705,221459,20223006,-10.24,-75.11,135,5.3,PERU,PASCO
222,19640710,191644,20223006,-15.98,-71.6,136,5.3,PERU,AREQUIPA
223,19640718,111317,20223006,-18.505,-71.392,44,5.1,OCEANO,MAR
224,19640802,081405,20223006,-17.25,-69.63,5,4.7,PERU,PUNO
225,19640804,130622,20223006,-5.14,-78.7,33,4.6,PERU,AMAZONAS
226,19640810,073453,20223006,-16.764,-71.111,99,5.2,PERU,MOQUEGUA
227,19640813,163219,20223006,-6,-81.3,49,4.7,OCEANO,MAR
228,19640818,002653,20223006,-7.32,-74.51,156,5.5,PERU,UCAYALI
229,19640819,140038,20223006,-6.92,-75.26,15,4.9,PERU,LORETO
230,19640910,213632,20223006,-4.797,-81.454,25,4.9,OCEANO,MAR
231,19640917,074114,20223006,-15.78,-72.945,106,5.3,PERU,AREQUIPA
232,19640919,172612,20223006,-5.94,-81.685,10,5,OCEANO,MAR
233,19640921,132744,20223006,-8.3,-74.9,125,5,PERU,UCAYALI
234,19640929,184614,20223006,-8.53,-74.29,159,4.6,PERU,UCAYALI
235,19640929,203152,20223006,-16.36,-69.35,139,4.5,PERU,PUNO
236,19641002,204147,20223006,-9.1,-79.687,32,5,OCEANO,MAR
237,19641003,124932,20223006,-10.749,-75.057,151,4.9,PERU,JUNIN
238,19641006,181907,20223006,-13.1,-75.1,117,4.7,PERU,HUANCAVELICA
239,19641011,141914,20223006,-18.001,-71.671,37,5.3,OCEANO,MAR
240,19641013,235413,20223006,-13.57,-76.8,61,5,OCEANO,MAR
241,19641017,074533,20223006,-13.46,-72.6,44,4.9,PERU,CUSCO
242,19641028,030708,20223006,-13.5,-72.67,54,4.9,PERU,CUSCO
243,19641102,065101,20223006,-4.011,-76.742,105,6,PERU,LORETO
244,19641111,184856,20223006,-13.68,-75.34,81,5.3,PERU,HUANCAVELICA
245,19641112,121337,20223006,-18.49,-70.42,91,5.1,OCEANO,MAR
246,19641118,001202,20223006,-10.5,-75.7,94,4.8,PERU,PASCO
